Id,SalePrice
1461,122448.04
1462,152502.96
1463,182899.23
1464,190926.5
1465,174284.0
1466,179494.86
1467,172653.15
1468,170394.28
1469,177096.03
1470,116889.0
1471,209895.8
1472,99165.04
1473,98180.34
1474,153520.87
1475,105041.51
1476,354055.47
1477,254056.09
1478,306646.2
1479,260550.1
1480,521695.19
1481,325536.6
1482,202747.16
1483,175209.82
1484,169586.0
1485,170795.47
1486,190499.85
1487,340174.09
1488,239144.69
1489,192808.37
1490,258570.42
1491,194060.35
1492,96196.38
1493,185134.06
1494,299107.82
1495,297903.61
1496,219047.9
1497,179073.37
1498,161012.35
1499,157764.91
1500,163708.41
1501,191066.02
1502,144612.18333333335
1503,325473.03
1504,244373.75
1505,227937.72
1506,208052.95
1507,256941.03
1508,205951.5
1509,159863.5
1510,164088.87
1511,139336.0
1512,174737.42
1513,159726.18
1514,148432.78
1515,211886.45
1516,148992.25
1517,147078.71
1518,128117.28
1519,250959.07
1520,123669.5
1521,128052.75
1522,173719.69
1523,104843.6
1524,113768.86
1525,107589.65
1526,113207.81
1527,98907.5
1528,138849.84
1529,132344.08
1530,195092.87
1531,141302.72
1532,96251.0
1533,149251.9
1534,124738.72
1535,149838.95
1536,97728.46
1537,86046.69
1538,165442.52
1539,196239.45
1540,132933.31
1541,146376.58
1542,142976.87
1543,163851.68
1544,101421.04
1545,107460.75
1546,150190.5
1547,147731.5
1548,127617.43
1549,118886.5
1550,142916.65
1551,115722.26
1552,144475.14
1553,121776.45
1554,112327.06
1555,184540.91
1556,80549.07
1557,92275.43
1558,93775.38
1559,83889.44
1560,136699.66
1561,144224.02
1562,130533.75
1563,117874.55
1564,164130.53
1565,159824.02
1566,229493.86
1567,83027.62
1568,227721.1
1569,147805.47
1570,135784.33
1571,127544.58
1572,143216.91666666666
1573,258792.0
1574,146510.2
1575,233512.49
1576,242896.75
1577,184775.0
1578,134787.58
1579,141327.43666666668
1580,193130.21
1581,151356.6
1582,127487.32
1583,329468.03
1584,249685.97
1585,139870.54
1586,82882.5
1587,100401.56
1588,143514.6
1589,114182.5
1590,136938.0
1591,90093.15
1592,133013.59
1593,119167.18
1594,144504.21
1595,110591.08
1596,204568.4
1597,145949.96
1598,180433.06
1599,165852.1
1600,167935.89
1601,65483.19
1602,117171.45
1603,96150.69
1604,265428.77
1605,252075.11
1606,169090.2
1607,201355.16
1608,219997.24
1609,179189.84
1610,156744.5
1611,139632.0
1612,177476.49
1613,183986.9
1614,131958.0
1615,93556.26
1616,80918.5
1617,94844.93
1618,124011.02
1619,131969.01333333334
1620,218892.1
1621,141149.24
1622,142391.0
1623,254467.86
1624,231812.82
1625,118576.22
1626,185222.56
1627,190348.55
1628,256942.91
1629,173655.33
1630,353590.92
1631,200287.4
1632,216370.87
1633,169033.77
1634,193064.99
1635,175094.42
1636,169742.47
1637,205762.16
1638,216151.31
1639,191266.31
1640,244190.65
1641,172106.35
1642,213269.01
1643,218098.94
1644,219271.56
1645,237484.0
1646,161298.39
1647,164481.57
1648,133744.05
1649,136016.0
1650,128388.1
1651,131506.84
1652,107668.72
1653,104280.3
1654,156833.74
1655,144450.81
1656,153810.05
1657,163599.01
1658,152319.35
1659,125616.59
1660,157506.14
1661,516221.76
1662,345731.25
1663,346163.88
1664,512130.48
1665,323706.13
1666,318742.37
1667,379934.35
1668,322933.71
1669,306679.74
1670,327227.59
1671,256172.69
1672,497678.09
1673,301953.04
1674,248391.96
1675,191392.15
1676,207648.92
1677,214305.41
1678,516238.69
1679,383165.25
1680,288088.06
1681,253623.2
1682,322220.88
1683,207368.56
1684,180185.45
1685,169577.74
1686,167390.07
1687,167038.3
1688,190221.56
1689,189172.07
